itemName,itemsViewed,itemsPurchased,itemsAddedToCart,itemRevenue,prvItemsViewed,prvItemsPurchased,prvItemsAddedToCart,prvItemRevenue,ProductGrowthRate,VisitsGrowthRate
"Portuguese Side Table, 1960s",11,0,0,0,0,0,0,0,0.0,0.0
"Pair of Armchairs, 1960s",0,0,0,0,0,0,0,0,0.0,0.0
"Brown Rattan and Brass Mirror, 1970s",1,0,0,0,0,0,0,0,0.0,0.0
"Wooden Bobbin Table, 1960s",6,0,0,0,0,0,0,0,0.0,0.0
"Wooden Mural Sculpture, Preben P, 1980s",1,0,0,0,0,0,0,0,0.0,0.0
"""Vitruvio"" Walnut stool",0,0,0,0,0,0,0,0,0.0,0.0
"Tripod Iron Floor Lamp, 1960s",5,0,0,0,0,0,0,0,0.0,0.0
"Arts & Crafts Oak Lamp, 1920s",2,0,0,0,0,0,0,0,0.0,0.0
"Dark Wooden Floor Lamp, 1930s",3,0,0,0,0,0,0,0,0.0,0.0
"Turned Wood Table Lamp, 1960s",2,0,0,0,0,0,0,0,0.0,0.0
"Pair of Iron Table Lamps, 1960s",1,0,0,0,0,0,0,0,0.0,0.0
Black Glazed Ceramic Table Lamp,1,0,0,0,0,0,0,0,0.0,0.0
"Turned Wood Twist Lamp, 1960s",1,0,0,0,0,0,0,0,0.0,0.0
"Tripod Floor Lamp, 1960s",1,0,0,0,0,0,0,0,0.0,0.0
"Golden Iron Table Lamp, 1960s",0,0,0,0,0,0,0,0,0.0,0.0
"Neoclassical Floor Lamp, 1960s",3,0,0,0,0,0,0,0,0.0,0.0
"Arts Deco Iron Floor Lamp, 1930s",3,0,0,0,0,0,0,0,0.0,0.0
"Pair of Neoclassical Iron Chairs, 1960s",1,0,0,0,0,0,0,0,0.0,0.0
"Pair of Wood Chairs, 1950s",3,0,0,0,0,0,0,0,0.0,0.0
"Pair of Iron And Straw Chairs, 1980s",3,0,0,0,0,0,0,0,0.0,0.0
"Pair of Black Wooden Pedestal, 1960s",0,0,0,0,0,0,0,0,0.0,0.0
"Pair of Square Coffee Tables, 1970s",17,0,0,0,0,0,0,0,0.0,0.0
"Fabric And Caning Armchair, 1950s",0,0,0,0,0,0,0,0,0.0,0.0
"Pair of Ribbon Iron Wall Sconces, 1950s",1,0,0,0,0,0,0,0,0.0,0.0
"Pair of Iron And Copper Lamps, 1940s.",1,0,0,0,0,0,0,0,0.0,0.0
"Dangles and Defrance Yellow Sofa. France, 1960s",17,0,0,0,0,0,0,0,0.0,0.0
"West African Wood Chair, 1960s",8,0,0,0,0,0,0,0,0.0,0.0
"Pair of Neoclassical Wrought Iron Lamps, 1970s",1,0,0,0,0,0,0,0,0.0,0.0
"Black Lacquered Sofa, 1930s",23,0,0,0,0,0,0,0,0.0,0.0
"Pair of Ebonised And Straw Armchairs, 1940s.",1,0,0,0,0,0,0,0,0.0,0.0
"Pair of Turned Wood And Straw Armchairs, 1950s.",3,0,0,0,0,0,0,0,0.0,0.0
"Pair of Turned Wood Candlesticks, 19th c.",1,0,0,0,0,0,0,0,0.0,0.0
"Planter Cup in Silver Metal, 1920s.",1,0,0,0,0,0,0,0,0.0,0.0
Ceramic Vase by the potters of Accolay,29,0,1,0,0,0,0,0,0.0,0.0
Stainless Steel Server Sauce,14,0,0,0,0,0,0,0,0.0,0.0
Vintage Alessi Sugar & Creamer Set,15,0,1,0,9,0,0,0,0.0,0.6666666666666666
Ribbon Vase in Off White,91,1,4,122.803042,70,0,1,0,0.0,0.3
Exotic Wood Sculpture by Pierre Dedieu,7,0,0,0,9,0,0,0,0.0,-0.2222222222222222
Glass Vase with Spiral Detail,5,0,0,0,4,0,1,0,0.0,0.25
Magazine Rack,418,0,5,0,113,0,4,0,0.0,2.6991150442477876
"""Hangover"" Ashtray",2,1,3,46.4712,2,0,2,0,0.0,0.0
Art Deco Serving Tray,8,0,0,0,6,0,0,0,0.0,0.3333333333333333
Galileo 2.3,48,1,4,1080,11,0,0,0,0.0,3.3636363636363638
Gratitude Linen Napkins - Set of 6,37,0,3,0,38,0,4,0,0.0,-0.02631578947368421
Lu Candle Cream,19,0,4,0,15,0,0,0,0.0,0.26666666666666666
Issey Miyake Vintage Book,30,0,3,0,2,0,0,0,0.0,14.0
Lulu Wine Velvet Edition,21,0,0,0,39,0,5,0,0.0,-0.46153846153846156
Coco Egg Cup Set,26,0,2,0,14,0,0,0,0.0,0.8571428571428571
Coco Egg Cup Set,26,0,2,0,14,0,0,0,0.0,0.8571428571428571
Michele Jug,7,0,0,0,4,0,0,0,0.0,0.75
Small Candelabra,17,0,0,0,24,0,1,0,0.0,-0.2916666666666667
Antique Ceramic Lamp,34,0,2,0,12,0,1,0,0.0,1.8333333333333333
Michele Bowl Small,7,0,0,0,11,1,2,219.464763,-1.0,-0.36363636363636365
Lilu Candle Cream,16,0,0,0,11,0,0,0,0.0,0.45454545454545453
Lulu Candle Cream,10,0,1,0,15,0,0,0,0.0,-0.3333333333333333
Ninu Grey Candle,5,0,1,0,2,0,0,0,0.0,1.5
Composition105,9,0,0,0,4,0,0,0,0.0,1.25
The Three Sisters Vases,103,2,2,460,36,0,1,0,0.0,1.8611111111111112
"""Mara"" Coffee Table – Night Noise",2,0,0,0,0,0,0,0,0.0,0.0
Espiral Lamp - Grande black,39,0,0,0,6,0,0,0,0.0,5.5
"""Tommy's Essentials"" Plate",20,0,4,0,12,0,4,0,0.0,0.6666666666666666
Ostro Sea Ceramic,86,0,7,0,66,0,3,0,0.0,0.30303030303030304
Hacienda Lamp (Cacao),14,0,1,0,9,0,0,0,0.0,0.5555555555555556
I Stay Out Too Late Dish,11,1,1,94.395703,12,1,1,92,0.0,-0.08333333333333333
Cristo Lamp (Sol),26,0,1,0,13,0,0,0,0.0,1.0
Hacienda Lamp (Granada),3,0,0,0,2,0,0,0,0.0,0.5
"Panel Wall Lamp – ""Icescape""",6,0,0,0,0,0,0,0,0.0,0.0
Hand Sculpted Silver Plated Clam Shell Plate,182,1,1,397.91989,46,0,3,0,0.0,2.9565217391304346
Postmodern Toast Rack (Tomado Holland),8,0,1,0,0,0,0,0,0.0,0.0
Megaron Shelf (Small),54,1,3,560.088165,42,0,1,0,0.0,0.2857142857142857
Megaron Shelf (Large),21,1,3,804.391564,26,0,1,0,0.0,-0.19230769230769232
Michael Vase,55,0,1,0,69,0,2,0,0.0,-0.2028985507246377
Michael Vase,55,0,1,0,69,0,2,0,0.0,-0.2028985507246377
Michael Vase,55,0,1,0,69,0,2,0,0.0,-0.2028985507246377
Vintage Vase Peill & Puztler,2,0,0,0,0,0,0,0,0.0,0.0
Josef Black Ceramic,65,0,5,0,47,0,1,0,0.0,0.3829787234042553
W59 Candle Holder (facade version),1,0,0,0,7,0,1,0,0.0,-0.8571428571428571
The Walls are Listening Sculpture,196,0,21,0,207,0,12,0,0.0,-0.05314009661835749
The Walls are Listening Sculpture,196,0,21,0,207,0,12,0,0.0,-0.05314009661835749
The Walls are Listening Sculpture,196,0,21,0,207,0,12,0,0.0,-0.05314009661835749
Mouthblown Vase,39,1,2,178.623655,32,1,4,175,0.0,0.21875
Dark Red-Conical Glass Lamp,113,1,6,499.464728,38,1,7,490,0.0,1.9736842105263157
Barbro Wine Glass - Set of four,6,0,0,0,9,0,0,0,0.0,-0.3333333333333333
Bucatini Candle Holder (Grass Green),54,1,2,160.86,50,0,3,0,0.0,0.08
Nabi Candleholder - Small,17,0,0,0,7,0,0,0,0.0,1.4285714285714286
Carey Cutlery,0,0,0,0,0,0,0,0,0.0,0.0
1948 Table Lamp - USA,12,0,1,0,0,0,0,0,0.0,0.0
1948 Table Lamp - USA,12,0,1,0,0,0,0,0,0.0,0.0
1948 Table Lamp - USA,12,0,1,0,0,0,0,0,0.0,0.0
"""Feels Like Home"" Table Lamp - EU",1,0,0,0,0,0,0,0,0.0,0.0
"""Feels Like Home"" Table Lamp - EU",1,0,0,0,0,0,0,0,0.0,0.0
"""Feels Like Home"" Table Lamp - EU",1,0,0,0,0,0,0,0,0.0,0.0
"""USO"" Table Lamp - USA",1,0,0,0,0,0,0,0,0.0,0.0
"""USO"" Table Lamp - USA",1,0,0,0,0,0,0,0,0.0,0.0
"""USO"" Table Lamp - USA",1,0,0,0,0,0,0,0,0.0,0.0
Nabi Butter Dish,31,0,0,0,30,0,4,0,0.0,0.03333333333333333
Bucati Candle Holder (Beige),1,0,0,0,3,0,0,0,0.0,-0.6666666666666666
Bucati Candle Holder (Beige),1,0,0,0,3,0,0,0,0.0,-0.6666666666666666
Polished Steel Candlesticks by Erika Pekkari (set of 2),3,0,0,0,4,0,0,0,0.0,-0.25
Faye Toogood Spade Chair,1,0,0,0,1,0,0,0,0.0,0.0
Iron wall candle sconces,0,0,0,0,0,0,0,0,0.0,0.0
Gaius Octavian Plate,65,1,3,148.165407,176,0,9,0,0.0,-0.6306818181818182
Chatior Side Table,1,0,0,0,0,0,0,0,0.0,0.0
"""Tougarine"" Floor Lamp",1,0,0,0,0,0,0,0,0.0,0.0
Haas Mojave Mug - White,1,0,0,0,0,0,1,0,0.0,0.0
Pair of Mouthblown Wine Glass - Tall Spirals,4,0,0,0,5,0,0,0,0.0,-0.2
"""Khram"" Dining Table",0,0,2,0,0,0,0,0,0.0,0.0
"""Khram"" Dining Table",0,0,2,0,0,0,0,0,0.0,0.0
"""Khram"" Dining Table",0,0,2,0,0,0,0,0,0.0,0.0
"""Khram"" Dining Table",0,0,2,0,0,0,0,0,0.0,0.0
Apollo Plate,71,1,2,148.029896,40,0,5,0,0.0,0.775
Orgue Lamp,51,0,1,0,44,0,5,0,0.0,0.1590909090909091
Orgue Lamp,51,0,1,0,44,0,5,0,0.0,0.1590909090909091
Orgue Lamp,51,0,1,0,44,0,5,0,0.0,0.1590909090909091
Orgue Lamp,51,0,1,0,44,0,5,0,0.0,0.1590909090909091
Mid-Century Candleholder,6,0,0,0,2,0,0,0,0.0,2.0
Stainless Steel French Press,15,0,2,0,18,0,5,0,0.0,-0.16666666666666666
Stainless Steel French Press,15,0,2,0,18,0,5,0,0.0,-0.16666666666666666
Issey Miyake Vintage Book,30,0,3,0,2,0,0,0,0.0,14.0
Propeller Circular Coffee Table by Knut Hesterberg,4,0,0,0,5,0,1,0,0.0,-0.2
Matthew Hilton Swan - Medium,0,0,0,0,0,0,0,0,0.0,0.0
Knife & Fork Tile Sculpture,44,1,3,78,22,0,3,0,0.0,1.0
"""Mara T"" Side Table – Silver Noise",7,0,1,0,0,0,0,0,0.0,0.0
Rivet Cart,51,0,2,0,74,0,4,0,0.0,-0.3108108108108108
Nereida — Coupe Glass,56,0,7,0,75,0,2,0,0.0,-0.25333333333333335
Nereida — Coupe Glass,56,0,7,0,75,0,2,0,0.0,-0.25333333333333335
Nereida — Coupe Glass,56,0,7,0,75,0,2,0,0.0,-0.25333333333333335
Nereida — Coupe Glass,56,0,7,0,75,0,2,0,0.0,-0.25333333333333335
Nereida — Coupe Glass,56,0,7,0,75,0,2,0,0.0,-0.25333333333333335
Rivet Box Table | Aluminum,173,0,4,0,100,0,1,0,0.0,0.73
THE MIRROR OF SIMPLE SOULS,58,1,2,1500,24,0,1,0,0.0,1.4166666666666667
Ostro Sea Ceramic,86,0,7,0,66,0,3,0,0.0,0.30303030303030304
Wave Pitcher Glass - 9 Colours,5,0,0,0,9,0,1,0,0.0,-0.4444444444444444
Wave Pitcher Glass - 9 Colours,5,0,0,0,9,0,1,0,0.0,-0.4444444444444444
Wave Pitcher Glass - 9 Colours,5,0,0,0,9,0,1,0,0.0,-0.4444444444444444
Wave Pitcher Glass - 9 Colours,5,0,0,0,9,0,1,0,0.0,-0.4444444444444444
Wave Pitcher Glass - 9 Colours,5,0,0,0,9,0,1,0,0.0,-0.4444444444444444
Wave Pitcher Glass - 9 Colours,5,0,0,0,9,0,1,0,0.0,-0.4444444444444444
Wave Pitcher Glass - 9 Colours,5,0,0,0,9,0,1,0,0.0,-0.4444444444444444
Wave Pitcher Glass - 9 Colours,5,0,0,0,9,0,1,0,0.0,-0.4444444444444444
Barragán Lamp (Negro),27,1,2,1151.725617,17,0,0,0,0.0,0.5882352941176471
Column Side Table,36,0,1,0,37,0,0,0,0.0,-0.02702702702702703
Column Side Table,36,0,1,0,37,0,0,0,0.0,-0.02702702702702703
Josef Black Ceramic,65,0,5,0,47,0,1,0,0.0,0.3829787234042553
Josef Black Ceramic,65,0,5,0,47,0,1,0,0.0,0.3829787234042553
Small Iris Ashtray In Red Resin,53,2,2,120.000001,94,1,3,60,1.0,-0.43617021276595747
Calici Milanesi — glassware trio,12,0,0,0,17,0,1,0,0.0,-0.29411764705882354
Floor Lamp # 1,78,1,4,908.718611,49,0,1,0,0.0,0.5918367346938775
Phantom Dish - Crystal,8,0,2,0,13,0,0,0,0.0,-0.38461538461538464
Socorro Lamp,38,0,1,0,22,0,1,0,0.0,0.7272727272727273
Desk Lamp # 1,37,1,4,500.575509,20,0,0,0,0.0,0.85
Venise Dessert Spoons (Set of 4),10,0,1,0,11,0,1,0,0.0,-0.09090909090909091
Venise Spreaders (Set of 4),8,0,1,0,10,0,0,0,0.0,-0.2
Lampe ii,48,0,0,0,23,0,2,0,0.0,1.0869565217391304
Lampe ii,48,0,0,0,23,0,2,0,0.0,1.0869565217391304
Neptune Bowl X-Large,34,0,0,0,14,0,2,0,0.0,1.4285714285714286
Paloma Lamp,31,0,0,0,15,0,0,0,0.0,1.0666666666666667
Milagro Lamp (Chico),16,0,0,0,17,0,0,0,0.0,-0.058823529411764705
Matis Backgammon,21,0,1,0,24,0,0,0,0.0,-0.125
Washed Cotton Percale Bed Set in Sand,6,0,2,0,7,0,0,0,0.0,-0.14285714285714285
Washed Cotton Percale Bed Set in Sand,6,0,2,0,7,0,0,0,0.0,-0.14285714285714285
Washed Cotton Percale Bed Set in Sand,6,0,2,0,7,0,0,0,0.0,-0.14285714285714285
Washed Cotton Percale Bed Set in Sand,6,0,2,0,7,0,0,0,0.0,-0.14285714285714285
Washed Cotton Percale Bed Set in Sand,6,0,2,0,7,0,0,0,0.0,-0.14285714285714285
Washed Cotton Percale Bed Set in Sand,6,0,2,0,7,0,0,0,0.0,-0.14285714285714285
Washed Cotton Percale Bed Set in Sand,6,0,2,0,7,0,0,0,0.0,-0.14285714285714285
Washed Cotton Percale Bed Set in Sand,6,0,2,0,7,0,0,0,0.0,-0.14285714285714285
Washed Cotton Percale Bed Set in Sand,6,0,2,0,7,0,0,0,0.0,-0.14285714285714285
Washed Cotton Percale Bed Set in Sand,6,0,2,0,7,0,0,0,0.0,-0.14285714285714285
Washed Cotton Percale Bed Set in Sand,6,0,2,0,7,0,0,0,0.0,-0.14285714285714285
Picanto Salt + Pepper Mills (Set of 2),4,0,0,0,2,0,0,0,0.0,1.0
Bois Vert Candle,2,0,0,0,1,0,0,0,0.0,1.0
Damier Throw - Red,10,0,0,0,0,0,0,0,0.0,0.0
Washed Linen Bed Set in Olive,5,0,0,0,1,0,0,0,0.0,4.0
Washed Linen Bed Set in Olive,5,0,0,0,1,0,0,0,0.0,4.0
Washed Linen Bed Set in Olive,5,0,0,0,1,0,0,0,0.0,4.0
Washed Linen Bed Set in Olive,5,0,0,0,1,0,0,0,0.0,4.0
Washed Linen Bed Set in Olive,5,0,0,0,1,0,0,0,0.0,4.0
Washed Linen Bed Set in Olive,5,0,0,0,1,0,0,0,0.0,4.0
Washed Linen Bed Set in Olive,5,0,0,0,1,0,0,0,0.0,4.0
Washed Linen Bed Set in Olive,5,0,0,0,1,0,0,0,0.0,4.0
Washed Linen Bed Set in Olive,5,0,0,0,1,0,0,0,0.0,4.0
Washed Linen Bed Set in Olive,5,0,0,0,1,0,0,0,0.0,4.0
Washed Linen Bed Set in Olive,5,0,0,0,1,0,0,0,0.0,4.0
Washed Linen Bed Set in Olive,5,0,0,0,1,0,0,0,0.0,4.0
Washed Linen Bed Set in Olive,5,0,0,0,1,0,0,0,0.0,4.0
Washed Linen Bed Set in Stripes,5,0,0,0,9,0,0,0,0.0,-0.4444444444444444
Washed Linen Bed Set in Stripes,5,0,0,0,9,0,0,0,0.0,-0.4444444444444444
Washed Linen Bed Set in Stripes,5,0,0,0,9,0,0,0,0.0,-0.4444444444444444
Washed Linen Bed Set in Stripes,5,0,0,0,9,0,0,0,0.0,-0.4444444444444444
Washed Linen Bed Set in Stripes,5,0,0,0,9,0,0,0,0.0,-0.4444444444444444
Washed Linen Bed Set in Stripes,5,0,0,0,9,0,0,0,0.0,-0.4444444444444444
Washed Linen Bed Set in Stripes,5,0,0,0,9,0,0,0,0.0,-0.4444444444444444
Washed Linen Bed Set in Stripes,5,0,0,0,9,0,0,0,0.0,-0.4444444444444444
Washed Linen Bed Set in Stripes,5,0,0,0,9,0,0,0,0.0,-0.4444444444444444
White Washed Cotton Percale Bed Set,4,0,0,0,0,0,0,0,0.0,0.0
White Washed Cotton Percale Bed Set,4,0,0,0,0,0,0,0,0.0,0.0
White Washed Cotton Percale Bed Set,4,0,0,0,0,0,0,0,0.0,0.0
White Washed Cotton Percale Bed Set,4,0,0,0,0,0,0,0,0.0,0.0
White Washed Linen Bed Set,1,0,1,0,1,0,0,0,0.0,0.0
White Washed Linen Bed Set,1,0,1,0,1,0,0,0,0.0,0.0
White Washed Linen Bed Set,1,0,1,0,1,0,0,0,0.0,0.0
White Washed Linen Bed Set,1,0,1,0,1,0,0,0,0.0,0.0
White Washed Linen Bed Set,1,0,1,0,1,0,0,0,0.0,0.0
White Washed Linen Bed Set,1,0,1,0,1,0,0,0,0.0,0.0
White Washed Linen Bed Set,1,0,1,0,1,0,0,0,0.0,0.0
White Washed Linen Bed Set,1,0,1,0,1,0,0,0,0.0,0.0
White Washed Linen Bed Set,1,0,1,0,1,0,0,0,0.0,0.0
White Washed Linen Bed Set,1,0,1,0,1,0,0,0,0.0,0.0
White Washed Linen Bed Set,1,0,1,0,1,0,0,0,0.0,0.0
White Washed Linen Bed Set,1,0,1,0,1,0,0,0,0.0,0.0
White Washed Linen Bed Set,1,0,1,0,1,0,0,0,0.0,0.0
White Washed Linen Bed Set,1,0,1,0,1,0,0,0,0.0,0.0
